link_meci,data_meci,echipa_gazda,echipa_oaspete,forma_puncte_gazda,forma_puncte_oaspete,h2h_victorii_gazda,h2h_gazda,medie_goluri_gazda,medie_goluri_oaspete,medie_goluri_primite_gazda,medie_goluri_primite_oaspete,medie_suturi_pe_poarta_gazda,medie_suturi_pe_poarta_oaspete,medie_total_suturi_gazda,medie_total_suturi_oaspete,medie_cornere_gazda,medie_cornere_oaspete,medie_cartonase_galbene_gazda,medie_cartonase_galbene_oaspete,medie_cartonase_rosii_gazda,medie_cartonase_rosii_oaspete,medie_ofsaiduri_gazda,medie_ofsaiduri_oaspete,medie_lovituri_libere_gazda,medie_lovituri_libere_oaspete,medie_interventii_portar_gazda,medie_interventii_portar_oaspete,medie_posesie_minge_gazda,medie_posesie_minge_oaspete,rezultat,loc_clasament_gazda,loc_clasament_oaspete
https://www.flashscore.ro/meci/fotbal/cfr-cluj-4KfIhq7B/fc-voluntari-WIoSeFi4/sumar/statistici/0/?mid=nwC9FsC1,2021-10-30,CFR Cluj,FC Voluntari,15,9,0,0.0,2.0,1.0,0.4,1.4,4.8,3.4,7.8,7.2,5.2,2.8,2.2,3.2,0.0,0.0,2.8,3.2,16.2,10.6,1.4,5.6,52.2,43.6,1,1,3
https://www.flashscore.ro/meci/fotbal/gaz-metan-p0uYHXwo/lps-hd-clinceni-Q7PNEIgJ/sumar/statistici/0/?mid=ETFXN54L,2021-10-31,Gaz Metan Mediaș,LPS HD Clinceni,4,1,0,0.0,0.6,0.8,1.0,3.2,3.4,3.0,7.4,6.0,4.2,2.8,2.0,2.0,0.0,0.0,1.4,1.4,18.0,15.0,3.2,3.2,46.4,45.4,0,13,16
https://www.flashscore.ro/meci/fotbal/dinamo-bucuresti-rBgMi3MH/sepsi-IDsPIcMA/sumar/statistici/0/?mid=tGHPPRZ8,2021-10-31,Sepsi Sf. Gheorghe,Dinamo București,3,0,0,1.0,0.8,0.2,1.4,3.4,4.6,1.0,11.4,3.6,7.0,3.8,1.2,3.2,0.0,0.0,1.0,1.8,18.0,14.8,2.6,3.8,59.4,44.6,1,14,15
https://www.flashscore.ro/meci/fotbal/fc-arges-65I2MLv6/fcsb-Gv2kjDpN/sumar/statistici/0/?mid=4EM4GNde,2021-10-31,FCSB,FC Argeș,13,13,0,1.0,3.0,1.4,0.8,0.0,6.4,3.0,12.8,6.4,4.6,3.8,2.2,3.0,0.0,0.0,2.2,4.2,17.2,20.6,1.2,1.6,59.2,49.6,1,4,5
https://www.flashscore.ro/meci/fotbal/chindia-targoviste-nklx1aEq/fc-uta-arad-QDiPqBNj/sumar/statistici/0/?mid=fuXUMPJR,2021-11-01,UTA Arad,Chindia Târgoviște,10,6,0,0.0,1.2,0.4,0.6,0.4,3.8,2.6,9.6,5.0,5.8,1.8,2.2,2.8,0.0,0.0,1.8,1.8,13.4,13.2,2.2,3.8,54.4,42.8,2,7,10
https://www.flashscore.ro/meci/fotbal/fcu-1948-craiova-nNhLpi8p/rapid-bucuresti-YFCpigVG/sumar/statistici/0/?mid=zwHTOokF,2021-11-01,Rapid București,U Craiova 1948,6,4,0,0.0,1.0,0.6,1.0,1.0,4.0,2.4,8.2,6.8,7.0,2.2,4.2,3.2,0.0,0.0,1.6,3.0,15.0,17.4,4.2,2.4,47.0,51.6,0,9,12
https://www.flashscore.ro/meci/fotbal/farul-constanta-CrJbN1Pa/fcsb-Gv2kjDpN/sumar/statistici/0/?mid=nHzZ24Se,2021-11-04,Farul Constanța,FCSB,12,7,0,0.0,2.8,0.8,0.2,1.2,4.0,3.6,8.8,7.6,4.5,4.2,1.0,3.6,0.0,0.0,3.0,1.4,13.8,17.0,2.8,1.8,53.0,56.0,2,8,3
https://www.flashscore.ro/meci/fotbal/chindia-targoviste-nklx1aEq/gaz-metan-p0uYHXwo/sumar/statistici/0/?mid=zah4yPYK,2021-11-05,Chindia Târgoviște,Gaz Metan Mediaș,7,3,0,1.0,1.0,0.8,0.8,1.6,2.8,2.6,6.0,5.0,3.4,3.8,3.0,2.8,0.0,0.0,1.4,1.6,15.0,15.2,1.6,2.6,42.6,44.2,2,9,14
https://www.flashscore.ro/meci/fotbal/fc-arges-65I2MLv6/fc-botosani-GjY1JjUS/sumar/statistici/0/?mid=UFdwVMBl,2021-11-05,FC Argeș,FC Botoșani,7,9,0,0.0,0.6,1.2,0.6,0.8,2.8,4.2,7.4,8.2,2.8,3.2,2.0,2.8,0.0,0.0,0.8,1.8,18.0,14.8,3.6,3.4,50.8,50.0,2,5,6
https://www.flashscore.ro/meci/fotbal/dacia-mioveni-WSNaPsAg/fc-uta-arad-QDiPqBNj/sumar/statistici/0/?mid=YqB7zqlR,2021-11-06,CS Mioveni,UTA Arad,5,8,0,0.0,0.4,1.4,0.6,0.8,2.4,5.0,7.2,8.2,3.8,3.8,2.8,2.8,0.0,0.0,3.0,2.6,16.0,13.6,2.4,2.0,43.8,50.6,0,11,7
https://www.flashscore.ro/meci/fotbal/fcu-1948-craiova-nNhLpi8p/sepsi-IDsPIcMA/sumar/statistici/0/?mid=Eq4ewo48,2021-11-06,U Craiova 1948,Sepsi Sf. Gheorghe,5,3,0,0.0,0.6,0.4,0.8,1.0,1.6,4.4,4.4,9.4,4.2,5.0,2.0,3.2,0.0,0.0,0.8,2.0,15.6,21.2,2.4,2.8,44.0,47.4,0,13,14
https://www.flashscore.ro/meci/fotbal/farul-constanta-CrJbN1Pa/univ-craiova-bsd9fGaK/sumar/statistici/0/?mid=jPcZV2dr,2021-11-07,Farul Constanța,Univ. Craiova,12,9,0,0.0,2.2,1.0,0.4,0.6,4.2,4.8,9.2,12.4,4.4,4.6,1.0,3.0,0.0,0.0,3.0,1.2,14.2,14.8,2.6,2.2,54.8,59.0,1,8,3
https://www.flashscore.ro/meci/fotbal/cfr-cluj-4KfIhq7B/dinamo-bucuresti-rBgMi3MH/sumar/statistici/0/?mid=QTADE1R7,2021-11-07,Dinamo București,CFR Cluj,2,9,0,0.0,0.8,0.6,1.6,0.6,3.2,3.0,7.8,8.2,5.2,7.0,3.2,2.2,0.0,0.0,1.4,2.2,16.6,11.6,4.0,2.0,48.6,49.2,2,15,1
https://www.flashscore.ro/meci/fotbal/fc-voluntari-WIoSeFi4/fcsb-Gv2kjDpN/sumar/statistici/0/?mid=niirUtRf,2021-11-07,FC Voluntari,FCSB,12,9,0,1.0,1.6,0.8,0.6,1.0,5.0,3.2,10.0,7.0,3.0,3.6,3.6,3.4,0.0,0.0,1.8,1.4,12.2,18.6,2.4,2.2,46.4,52.0,0,5,2
https://www.flashscore.ro/meci/fotbal/lps-hd-clinceni-Q7PNEIgJ/rapid-bucuresti-YFCpigVG/sumar/statistici/0/?mid=hz3ax5JE,2021-11-08,LPS HD Clinceni,Rapid București,2,9,0,0.0,0.6,1.6,1.6,1.0,2.2,4.8,9.0,7.4,4.4,3.8,3.4,4.0,0.0,0.0,1.2,1.4,16.6,13.2,1.6,2.8,48.8,44.2,2,16,9
